Kundenname;IP-Adresse;Port;Seriennummer;Firmware;FortiCare;FortiGuard;AV-DB;FortiManager;Local-in-policy;Uptime;SSIDs;AP-Name;AP-Serials;AP-Firmware
Aryzta Food Solutions CH;194.230.65.220;8443;FGT3HD3916806331;v5.4.4;24.12.2017;24.12.2017;53.00289;True;False;;None;None;None;None
Garage Strickler;77.245.183.170;8443;FWF60D4613011339;v5.4.4;10.04.2019;10.04.2019;53.00276;False;True;;Stickler Guest,Strickler;FP221C3X17015480;FP221C3X17015480;FP221C-v5.4-build0363
Hawa;212.243.143.138;8443;FG600C3913803224;v5.4.4;14.03.2018;14.03.2018;53.00289;True;True;;None;None;None;None
Hawa;118.201.61.122;8443;FGT60E4Q16047984;v5.4.4;27.05.2020;27.05.2020;53.00289;True;False;;None;None;None;None
S-TEC;62.202.52.130;8443;FG080D3916003423;v5.4.4;14.07.2020;14.07.2020;53.00274;False;True;;Stecnet,Guestnet;AP03,AP01,AP02,AP04;FP221C3X15007658,FP221C3X15007667,FP221C3X15007668,FP221C3X15007675;FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP221C-v5.2-build0238
Schweiger;217.11.37.230;8443;FG100D3G13802444;v5.4.4;24.05.2018;24.05.2018;53.00289;False;True;;None;None;None;None
Shmelev;151.248.142.248;8443;FG100D3G14803502;v5.4.4;08.07.2018;08.07.2018;53.00276;False;True;;WLSHLV;APSHM01,APSHM03,APSHM02;FP221C3X14004649,FP221C3X14004723,FP221C3X14004724;FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354
Springfix;62.202.18.156;8443;FGT60E4Q16023528;v5.4.4;29.02.2020;29.02.2020;53.00289;False;True;;None;None;None;None
Steiner Treuhand AG;213.200.235.164;8443;FGT60E4Q16024215;v5.4.4;22.02.2020;22.02.2020;53.00288;False;True;;None;None;None;None
VIC US-MR (Monroe);12.193.207.228;8443;FGT6HD3916805432;v5.4.4;18.01.2022;18.01.2022;53.00289;True;True;;None;None;None;None
VIC US-WO (Wooster Street);205.179.161.116;8443;FGT60E4Q16031104;v5.4.4;18.01.2022;18.01.2022;53.00289;True;True;;None;None;None;None
workfashion.com AG;217.11.36.118;8443;FG100D3G15804692;v5.4.4;18.09.2018;18.09.2018;53.00289;False;True;;wf-gast,wf-int;FP221C3X15014869,FP221C3X15014928,FP221C3X15014945,FP221C3X15014991,FP221C3X15022505,FP221C3X15022530;FP221C3X15014869,FP221C3X15014928,FP221C3X15014945,FP221C3X15014991,FP221C3X15022505,FP221C3X15022530;FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354
workfashion.com AG;82.136.122.113;8443;FG100D3G15804692;v5.4.4;18.09.2018;18.09.2018;53.00289;False;True;;wf-gast,wf-int;FP221C3X15014869,FP221C3X15014928,FP221C3X15014945,FP221C3X15014991,FP221C3X15022505,FP221C3X15022530;FP221C3X15014869,FP221C3X15014928,FP221C3X15014945,FP221C3X15014991,FP221C3X15022505,FP221C3X15022530;FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354
ZentrumRanft;83.79.107.39;8443;FGT60E4Q16061104;v5.4.4;30.05.2020;30.05.2020;53.00289;False;True;;Guest-zentrumRANFT,data-wlan;FP221C3X17015941;FP221C3X17015941;FP221C-v5.2-build0262
3-Plan Kreuzlingen;84.253.41.242;8443;FG100E4Q17001584;v5.4.5;13.06.2022;13.06.2022;53.00288;True;True;;None;None;None;None
3-Plan Winterthur;213.160.33.146;8443;FG200E4Q17901146;v5.4.5;31.05.2022;31.05.2022;53.00289;True;True;;None;None;None;None
3-Plan Winterthur;46.14.52.210;8443;FG200E4Q17901146;v5.4.5;31.05.2022;31.05.2022;53.00289;True;True;;None;None;None;None
ABUS Schweiz;213.200.255.244;8443;FGT90D3Z16015922;v5.4.5;10.09.2018;10.09.2018;53.00289;False;True;;ABUS Schulung,ABUS Gast,ABUS,intern-handheld;ap01,ap02,ap03;FP221C3X14004710,FP221C3X15014360,FP221C3X15014622;FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363
Andy Wickart;212.4.70.50;8443;FG100D3G12811795;v5.4.5;06.02.2018;06.02.2018;53.00277;False;False;;Wickart-Guest,Wickart-LAN;FP221B3X12015724,FP221B3X12016103,FP221B3X13029278,AP Sins;FP221B3X12015724,FP221B3X12016103,FP221B3X13029278,FP221C3X17018117;FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221C-v5.4-build0363
Bertschi AG;194.147.70.10;8443;FGT5HD3914802134;v5.4.5;09.06.2018;09.06.2018;53.00289;True;True;;BGR_Remote,BGR_Staff,BGR_Corp,BGR_Isolated,BGR_Guest,BGR_Open;perrap01 ,duefap05 ,duefap02,duefap03 ,duefap04 ,duefap06 ,duefap17,duefap12,duefap15,duefap16,duefap10,duefap14,duefap13,duefap11,duefap18,birfap03,duefap08 ,duefap20,duefap21,birfap01,duefap09 ,birfap02,duefap19,birfap04,duefap27,duefap28,duefap22,FP221C3X15012317,error,duefap30,duefap29,duefap01,birfap13,birfap00,birfap11,birfap08,error,birfap10,birfap09,birfap12,birfap07,duefap31,duefap24,duefap32,duefap33,duefap23,duefap25,birfap16,duefap34,birfap15,FP221C3X17052175,error,duefap35,duefap26,birfap14,birfap06,birfap05;FAP14C3X13004756,FP221C3X14022616,FP221C3X14022674,FP221C3X14022974,FP221C3X14022977,FP221C3X14035755,FP221C3X15000178,FP221C3X15000200,FP221C3X15000464,FP221C3X15000474,FP221C3X15000580,FP221C3X15000612,FP221C3X15000613,FP221C3X15000617,FP221C3X15001106,FP221C3X15001118,FP221C3X15001155,FP221C3X15001170,FP221C3X15001195,FP221C3X15001196,FP221C3X15001200,FP221C3X15001215,FP221C3X15001230,FP221C3X15001473,FP221C3X15011396,FP221C3X15011409,FP221C3X15012306,FP221C3X15012317,FP221C3X15012325,FP221C3X15012333,FP221C3X16026360,FP221C3X16026363,FP221C3X16029401,FP221C3X16029436,FP221C3X16029453,FP221C3X16029606,FP221C3X16029611,FP221C3X16029614,FP221C3X16029909,FP221C3X17014343,FP221C3X17014828,FP221C3X17014862,FP221C3X17014863,FP221C3X17014867,FP221C3X17014973,FP221C3X17018124,FP221C3X17019889,FP221C3X17026773,FP221C3X17052175,FP222C3X15002818,FP222C3X15003033,FP222C3X16000162,FP222C3X16000325,FP222C3X16000357;FAP14C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP222C-v5.4-build0363,FP222C-v5.4-build0363,FP222C-v5.4-build0363,FP222C-v5.4-build0363,FP222C-v5.4-build0363
Caminada;194.209.51.194;8443;FG100D3G15804520;v5.4.5;20.08.2020;20.08.2020;53.00289;True;True;;Cam-intern,Cam-guest;MFS-CAMINADA-CH-BAR-AP101,MFS-CAMINADA-CH-BAR-AP102,MFS-CAMINADA-CH-BAR-AP103,MFS-CAMINADA-CH-BAR-AP104,MFS-CAMINADA-CH-BAR-AP105;FP221C3X15014452,FP221C3X15014465,FP221C3X15014678,FP221C3X15014680,FP221C3X15015012;FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262
eff-zett Frauenzentrale;82.136.65.214;8443;FGT90D3Z13000734;v5.4.5;14.02.2019;14.02.2019;0;False;True;;wlan-intern,wlan-trusted,wlan-guest;FP221B3X13025626,FP221B3X13029704,FP221C3X15039505;FP221B3X13025626,FP221B3X13029704,FP221C3X15039505;FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221C-v5.4-build0363
FFN;217.194.56.113;8443;FOSVM1LRZFHYX92C;v5.4.5;expired;expired;1;True;True;;None;None;None;None
Forma Futura;81.63.146.90;8443;FGT60D4613047155;v5.4.5;15.02.2018;15.02.2018;53.00276;False;True;;None;None;None;None
Forma Futura;213.3.3.177;8443;FGT60D4613047155;v5.4.5;15.02.2018;15.02.2018;53.00276;False;True;;None;None;None;None
Gde. Altdorf;37.128.179.206;8443;FG100D3G13825271;v5.4.5;05.09.2018;05.09.2018;53.00289;True;True;;RS-SISI-02,RS-SISI-01;FAP-SISI-01,FAP-SCHA-02,FAP-BGAL-01,FAP-SCHA-01,FAP-SCHA-04,FAP-SCHA-03,FAP-SCHA-05;FAP14C3X14003929,FAP14C3X14006257,FAP14C3X15000876,FAP14C3X15000880,FAP14C3X17000888,FAP14C3X17000895,FAP14C3X17001486;FAP14C-v5.6-build0467,FAP14C-v5.4-build0354,FAP14C-v5.4-build0354,FAP14C-v5.4-build0354,FAP14C-v5.4-build0363,FAP14C-v5.4-build0354,FAP14C-v5.4-build0363
Gde. Altdorf;213.200.229.95;8443;FGT60D4615070425;v5.4.5;26.11.2018;26.11.2018;53.00289;True;True;;None;None;None;None
Gebr. Baur;213.3.24.178;8443;FGT30D3X15035255;v5.4.5;05.01.2019;14.01.2016;1;False;True;;None;None;None;None
Glaspunkt;62.12.252.173;8443;FGT60D4615093799;v5.4.5;24.03.2019;24.03.2019;53.00289;False;True;;9b12kslb,glaspunkt-guest;AP01;FP221C3X15038619;FP221C-v5.4-build0354
Global Recovery Alliance BAAR;193.104.116.74;8443;FGT60E4Q16050416;v5.4.5;12.04.2022;12.04.2022;53.00289;False;True;;None;None;None;None
Globetrotter;46.140.182.186;8443;FG600C3912801197;v5.4.5;02.07.2018;02.07.2018;53.00289;True;True;;GTS,GTS-guest;wifi-hb1,wifi-hb2,wifi-bsl1,wifi-iso,wifi-gc,wifi-brn2,wifi-brn1,wifi-chr,wifi-thn,wifi-fri,wifi-btz,wifi-olt-schulung,wifi-zrh5,wifi-zrh4,wifi-rap,wifi-bri,wifi-bdn,wifi-aar,wifi-bie,wifi-luz1,wifi-olt,wifi-ila,wifi-zrh1,wifi-zrh3,wifi-stg,wifi-zug,wifi-wth,wifi-bsl2,wifi-zrh1a,wifi-btz2,wifi-luz2,wifi-hb3;FP221B3X12000830,FP221B3X12001037,FP221B3X12012095,FP221B3X12012186,FP221B3X12012226,FP221B3X12012237,FP221B3X12012240,FP221B3X12012293,FP221B3X12012405,FP221B3X12012407,FP221B3X12012410,FP221B3X12012411,FP221B3X12012414,FP221B3X12012421,FP221B3X12012465,FP221B3X12012585,FP221B3X12012638,FP221B3X12012642,FP221B3X12012705,FP221B3X12012706,FP221B3X12012708,FP221B3X12012712,FP221B3X12012739,FP221B3X12012747,FP221B3X12012752,FP221B3X12012760,FP221B3X12012762,FP221B3X14011603,FP221C3X15022438,FP221C3X16015197,FP221C3X16035037,FP221C3X16036144;FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.2-build0234,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221C-v5.4-build0371,FP221C-v5.4-build0371,FP221C-v5.4-build0371,FP221C-v5.4-build0371
Globetrotter;217.192.59.68;8443;FG600C3912801197;v5.4.5;02.07.2018;02.07.2018;53.00289;True;True;;GTS,GTS-guest;wifi-hb1,wifi-hb2,wifi-bsl1,wifi-iso,wifi-gc,wifi-brn2,wifi-brn1,wifi-chr,wifi-thn,wifi-fri,wifi-btz,wifi-olt-schulung,wifi-zrh5,wifi-zrh4,wifi-rap,wifi-bri,wifi-bdn,wifi-aar,wifi-bie,wifi-luz1,wifi-olt,wifi-ila,wifi-zrh1,wifi-zrh3,wifi-stg,wifi-zug,wifi-wth,wifi-bsl2,wifi-zrh1a,wifi-btz2,wifi-luz2,wifi-hb3;FP221B3X12000830,FP221B3X12001037,FP221B3X12012095,FP221B3X12012186,FP221B3X12012226,FP221B3X12012237,FP221B3X12012240,FP221B3X12012293,FP221B3X12012405,FP221B3X12012407,FP221B3X12012410,FP221B3X12012411,FP221B3X12012414,FP221B3X12012421,FP221B3X12012465,FP221B3X12012585,FP221B3X12012638,FP221B3X12012642,FP221B3X12012705,FP221B3X12012706,FP221B3X12012708,FP221B3X12012712,FP221B3X12012739,FP221B3X12012747,FP221B3X12012752,FP221B3X12012760,FP221B3X12012762,FP221B3X14011603,FP221C3X15022438,FP221C3X16015197,FP221C3X16035037,FP221C3X16036144;FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.2-build0234,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221C-v5.4-build0371,FP221C-v5.4-build0371,FP221C-v5.4-build0371,FP221C-v5.4-build0371
Huber Hausherr;178.174.7.150;8443;FGT60D4614005413;v5.4.5;18.06.2018;18.06.2018;53.00277;False;True;;None;None;None;None
ICT-Berufsbildung Zentralschweiz;62.2.142.226;8443;FG100D3G14803312;v5.4.5;10.06.2020;10.06.2020;53.00273;False;False;;ICT-Gast,ICT-Office,ICT-KR3,ICT-KR4,ICT-KR5,ICT-BLJ,ICT-BLJ-time,ICT-KR2;ap-office,ap-kr4,ap-kr3,ap-kr2,ap-blj,ap-kr5;FP320C3X13000098,FP320C3X14003316,FP320C3X14003354,FP320C3X14003637,FP320C3X14012647,FP320C3X14012773;FP320C-v5.4-build0354,FP320C-v5.4-build0354,FP320C-v5.4-build0354,FP320C-v5.4-build0354,FP320C-v5.4-build0354,FP320C-v5.4-build0354
Ineichen AG;62.167.8.187;8443;FGT90D3Z16015926;v5.4.5;02.09.2018;02.09.2018;53.00289;False;True;;ineichen-wlan,ineichen-besucher;AP-EG,AP-WHOF,AP-OG;FP221C3X15014915,FP221C3X15014920,FP221C3X15014992;FP221C-v5.2-build0254,FP221C-v5.2-build0254,FP221C-v5.2-build0254
Interglass;213.200.198.113;8443;FG100D3G12810787;v5.4.5;07.06.2018;07.06.2018;53.00289;False;True;;None;None;None;None
Interglass;82.136.112.55;8443;FG100D3G12810787;v5.4.5;07.06.2018;07.06.2018;53.00289;False;True;;None;None;None;None
Internezzo;212.103.81.210;443;FG100D3G14802560;v5.4.5;17.06.2018;17.06.2018;53.00288;False;False;;internezzo,internezzo-gast;FortiAP-1,FortiAP-2,error;FP221C3X14022782,FP221C3X14022823;FP221C-v5.4-build0354
Internezzo AG;212.103.81.210;443;FG100D3G14802560;v5.4.5;17.06.2018;17.06.2018;53.00288;False;False;;internezzo,internezzo-gast;FortiAP-1,FortiAP-2,error;FP221C3X14022782,FP221C3X14022823;FP221C-v5.4-build0354
ipb Baggenstos Montagen AG;46.14.136.82;8443;FGT60E4Q16095252;v5.4.5;21.09.2018;21.09.2018;53.00276;False;True;;ipb;FP221C3X15035833,FP221C3X17019540;FP221C3X15035833,FP221C3X17019540;FP221C-v5.4-build0363,FP221C-v5.4-build0363
Jegobau;213.200.207.26;8443;FG100D3G13804043;v5.4.5;13.06.2018;13.06.2018;53.00275;False;True;;jego;FP221C3X15012766,FAP1-2,FAP1-1,FP221C3X15012812,FP221C3X15013966,FP221C3X15013984,FP221C3X15014082,FP221C3X15014093,FP221C3X15014117,FP221C3X15014118,FAP2-Bewirtschaftung;FP221C3X15012766,FP221C3X15012782,FP221C3X15012785,FP221C3X15012812,FP221C3X15013966,FP221C3X15013984,FP221C3X15014082,FP221C3X15014093,FP221C3X15014117,FP221C3X15014118,FP221C3X15014128;FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363
KD Zug;83.173.199.154;8443;FG080D3916003512;v5.4.5;10.08.2019;10.08.2019;53.00289;False;True;;KDZT Gast,KDZT;AP04,AP02,AP01,AP03;FP221C3X17008198,FP223C3X15008669,FP223C3X15009262,FP223C3X16003894;FP221C-v5.2-build0262,FP223C-v5.4-build0339,FP223C-v5.4-build0339,FP223C-v5.2-build0254
kelag-huen-matten;213.3.35.61;8443;FGT30E3U17013592;v5.4.5;20.09.2020;23.09.2017;1;False;True;;None;None;None;None
kelag-oaeg-raten;62.202.14.52;8443;FGT30D3X13002904;v5.4.5;26.09.2017;19.09.2014;1;False;False;;None;None;None;None
Ohnsorg;213.3.63.230;8443;FGT70D3Z14000252;v5.4.5;05.05.2018;05.05.2018;53.00276;False;True;;ohnsorg-intern,wlan-guest;FP221C3X15038543;FP221C3X15038543;FP221C-v5.2-build0234
Regimo;82.136.65.7;8443;FGT60E4Q16020915;v5.4.5;14.01.2020;14.01.2020;53.00277;False;False;;regimo;AP01;FP223C3X15001611;FP223C-v5.2-build0245
Schreinerei Brändle;82.136.66.109;8443;FGT60D4614009039;v5.4.5;09.10.2018;09.10.2018;53.00275;False;True;;WLBRA_Gast,WLBRA_1;FAP-01,FAP-02;FP221B3X14004601,FP221B3X14004623;FP221B-v5.4-build0363,FP221B-v5.4-build0363
Schreinerei Leo Baumgartner;62.202.51.162;8443;FG080D3914003119;v5.4.5;10.09.2018;10.09.2018;53.00289;False;True;;sb-data,sb-guest;AP-SB-02,AP-SB-01,AP-SB-03;FP221B3X12007071,FP221B3X12007461,FP221C3X14022759;FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221C-v5.4-build0363
